,Attribute,Label,Description,Required,Cond_Req,Valid Values,Conditional Requirements,Component
Molecular Analysis Method,Molecular Analysis Method,MolecularAnalysisMethod,The text term used to describe the method used for molecular analysis. Note: This node is meant to capture molecular tests that were completed clinically for the participant and only includes data from diagnostic array that was completed prior to research sequencing was done. Do not include data related to research assay outputs here.,True,,"['Not Applicable', 'WGS', 'Targeted Sequencing', 'FISH', 'IHC', 'Unknown', 'Microarray', 'Cytogenetics NOS', 'Nuclear Staining', 'Microsatellite Analysis', 'Sequencing NOS', 'Comparative Genomic Hybridization', 'Not Reported', 'Flow Cytometry', 'Southern Blotting', 'ISH', 'RNA Sequencing', 'Other', 'RT-PCR', 'WXS', 'Karyotype']",,SRRSClinicalDataTier2
Test Result,Test Result,TestResult,The text term used to describe the result of the molecular test. If the test result was a numeric value see test_value. Note: This node is meant to capture molecular tests that were completed clinically for the participant and only includes data from diagnostic array that was completed prior to research sequencing was done. Do not include data related to research assay outputs here.,True,,"['Equivocal', 'Copy Number Reported', 'Abnormal NOS', 'Not Reported', 'Low', 'Overexpressed', 'Test Value Reported', 'Intermediate', 'Not Applicable', 'Positive', 'Unknown', 'High', 'Normal', 'Negative', 'Loss of Expression']",,SRRSClinicalDataTier2
Pack Years Smoked,Pack Years Smoked,PackYearsSmoked,Numeric computed value to represent lifetime tobacco exposure defined as number of cigarettes smoked per day x number of years smoked divided by 20.,True,,,,SRRSClinicalDataTier2
Site of Resection or Biopsy,Site of Resection or Biopsy,SiteofResectionorBiopsy,"The text term used to describe the anatomic site of origin, of the patient's malignant disease, as described by the World Health Organization's (WHO) International Classification of Diseases for Oncology (ICD-O).",True,,"['Paraurethral gland', 'Colon NOS', 'Frontal sinus', 'Overlapping lesion of tongue', 'Overlapping lesion of palate', 'Scrotum NOS', 'Bone marrow', 'Axillary tail of breast', 'Overlapping lesion of bones joints and articular cartilage of limbs', 'unknown primary site', 'Broad ligament', 'Lateral floor of mouth', 'Overlapping lesion of vulva', 'Trigone of bladder', 'Lacrimal gland', 'Thorax NOS', 'Ampulla of Vater', 'Myometrium', 'Penis NOS', 'Female genital tract NOS', 'Submandibular gland', 'Anterior 2/3 of tongue NOS', 'Posterior wall of bladder', 'Thymus', 'Endocrine gland NOS', 'Stomach NOS', 'Unknown', 'Cerebrum', 'Splenic flexure of colon', 'Urachus', 'Skin of lip NOS', 'Mucosa of lip NOS', 'Accessory sinus NOS', 'Cortex of adrenal gland', 'Other ill-defined sites', 'Middle lobe lung', 'Pelvis NOS', 'Anus NOS', 'Upper-inner quadrant of breast', 'Posterior mediastinum', 'Esophagus NOS', 'Duodenum', 'Cervical esophagus', 'Optic nerve', 'Long bones of lower limb and associated joints', 'Middle ear', 'Breast NOS', 'Dorsal surface of tongue NOS', 'Lesser curvature of stomach NOS', 'Overlapping lesion of floor of mouth', 'Overlapping lesion of heart mediastinum and pleura', 'Eye NOS', 'Overlapping lesion of esophagus', 'Ciliary body', 'Ureteric orifice', 'Postcricoid region', 'External ear', 'Base of tongue NOS', 'Liver', 'Commissure of lip', 'Cloacogenic zone', 'Lower lobe lung', 'Transverse colon', 'Acoustic nerve', 'Supraglottis', 'Fallopian tube', 'Upper third of esophagus', 'Skin of scalp and neck', 'Choroid', 'Long bones of upper limb scapula and associated joints', 'Overlapping lesion of brain', 'Upper gum', 'Skin NOS', 'Hard palate', 'Ileum', 'Overlapping lesion of colon', 'Ascending colon', 'Lower gum', 'Pelvic bones sacrum coccyx and associated joints', 'Hepatic flexure of colon', 'Peripheral nerves and autonomic nervous system of upper limb and shoulder', 'Vestibule of mouth', 'Cervix uteri', 'Bones of skull and face and associated joints', 'Overlapping lesion of lip oral cavity and pharynx', 'Endometrium', 'Sphenoid sinus', 'Overlapping lesion of ill-defined sites', 'Sigmoid colon', 'Peritoneum NOS', 'Specified parts of peritoneum', 'Meckel diverticulum', 'Rectosigmoid junction', 'Kidney NOS', 'Reticuloendothelial system NOS', 'Rectum NOS', 'Pylorus', 'Overlapping lesion of tonsil', 'Pleura NOS', 'Jejunum', 'Vallecula', 'Skin of lower limb and hip', 'Pelvic lymph nodes', 'External lower lip', 'Overlapping lesion of skin', 'Mucosa of upper lip', 'Ovary', 'Cauda equina', 'Lower limb NOS', 'Body of stomach', 'Overlapping lesion of larynx', 'Pancreas NOS', 'Overlapping lesion of lung', 'Overlapping lesion of major salivary glands', 'Uvula', 'Overlapping lesion of hypopharynx', 'Round ligament', 'Corpus uteri', 'Biliary tract NOS', 'Male genital organs NOS', 'Parametrium', 'External lip NOS', 'Overlapping lesion of accessory sinuses', 'Cardia NOS', 'Islets of Langerhans', 'Carotid body', 'Ventral surface of tongue NOS', 'Autonomic nervous system NOS', 'Overlapping lesion of corpus uteri', 'Spinal meninges', 'Posterior wall of nasopharynx', 'Placenta', 'Intrahepatic bile duct', 'Overlapping lesion of digestive system', 'Mediastinum NOS', 'Hematopoietic system NOS', 'Connective subcutaneous and other soft tissues of upper limb and shoulder', 'Major salivary gland NOS', 'Cerebellum NOS', 'Overlapping lesion of stomach', 'Vulva NOS', 'Craniopharyngeal duct', 'Lung NOS', 'Greater curvature of stomach NOS', 'Upper-outer quadrant of breast', 'Gallbladder', 'Thoracic esophagus', 'Lymph nodes of axilla or arm', 'Ventricle NOS', 'Overlapping lesion of biliary tract', 'Hypopharynx NOS', 'Clitoris', 'Exocervix', 'Parietal lobe', 'Waldeyer ring', 'Connective subcutaneous and other soft tissues of lower limb and hip', 'Head face or neck NOS', 'Anterior wall of nasopharynx', 'Urethra', 'Overlapping lesion of nasopharynx', 'Maxillary sinus', 'Lymph nodes of inguinal region or leg', 'Ureter', 'Tonsillar pillar', 'Sublingual gland', 'Pituitary gland', 'Gastrointestinal tract NOS', 'Pineal gland', 'Meninges NOS', 'Lingual tonsil', 'Trachea', 'Pyriform sinus', 'Mucosa of lower lip', 'Not Reported', 'Posterior wall of hypopharynx', 'Urinary system NOS', 'Orbit NOS', 'Short bones of lower limb and associated joints', 'Connective subcutaneous and other soft tissues of thorax', 'Upper limb NOS', 'Gastric antrum', 'Lymph node NOS', 'Peripheral nerves and autonomic nervous system of thorax', 'Ill-defined sites within respiratory system', 'Other specified parts of male genital organs', 'Rib sternum clavicle and associated joints', 'Overlapping lesion of bladder', 'Appendix', 'Prostate gland', 'Lymph nodes of multiple regions', 'Lateral wall of nasopharynx', 'Branchial cleft', 'Connective subcutaneous and other soft tissues of trunk NOS', 'Floor of mouth NOS', 'Connective subcutaneous and other soft tissues NOS', 'Overlapping lesion of connective subcutaneous and other soft tissues', 'Bladder neck', 'Border of tongue', 'Connective subcutaneous and other soft tissues of abdomen', 'Overlapping lesion of small intestine', 'Lateral wall of bladder', 'Soft palate NOS', 'Peripheral nerves and autonomic nervous system of abdomen', 'Isthmus uteri', 'Nasal cavity', 'Endocervix', 'Tonsil NOS', 'Glottis', 'Retroperitoneum', 'Peripheral nerves and autonomic nervous system of pelvis', 'Frontal lobe', 'Vagina NOS', 'Undescended testis', 'Laryngeal cartilage', 'Eyelid', 'Hypopharyngeal aspect of aryepiglottic fold', 'Overlapping lesion of other and unspecified parts of mouth', 'Upper lobe lung', 'Lip NOS', 'Lymph nodes of head face and neck', 'Overlapping lesion of brain and central nervous system', 'Overlapping lesion of penis', 'Overlapping lesion of retroperitoneum and peritoneum', 'Parotid gland', 'Dome of bladder', 'Bone of limb NOS', 'Descended testis', 'Vertebral column', 'Fundus uteri', 'Connective subcutaneous and other soft tissues of pelvis', 'Epididymis', 'Intra-abdominal lymph nodes', 'Paraspinal', 'Prepuce', 'Peripheral nerves and autonomic nervous system of head face and neck', 'Pharynx NOS', 'Overlapping lesion of endocrine glands and related structures', 'Gum NOS', 'Spinal cord', 'Overlapping lesion of peripheral nerves and autonomic nervous system', 'Skin of upper limb and shoulder', 'Nasopharynx NOS', 'Parathyroid gland', 'Bone NOS', 'Mouth NOS', 'Abdomen NOS', 'Conjunctiva', 'Spermatic cord', 'External upper lip', 'Labium minus', 'Renal pelvis', 'Overlapping lesion of lip', 'Short bones of upper limb and associated joints', 'Main bronchus', 'Upper respiratory tract NOS', 'Body of penis', 'Small intestine NOS', 'Central portion of breast', 'Lower-inner quadrant of breast', 'Labium majus', 'Tonsillar fossa', 'Cecum', 'Glans penis', 'Tail of pancreas', 'Lower third of esophagus', 'Body of pancreas', 'Intestinal tract NOS', 'Brain stem', 'Overlapping lesion of rectum anus and anal canal', 'Posterior wall of oropharynx', 'Pancreatic duct', 'Blood', 'Temporal lobe', 'Anterior floor of mouth', 'Nervous system NOS', 'Cornea NOS', 'Palate NOS', 'Occipital lobe', 'Abdominal esophagus', 'Overlapping lesion of pancreas', 'Overlapping lesion of female genital organs', 'Cheek mucosa', 'Retina', 'Overlapping lesion of male genital organs', 'Peripheral nerves and autonomic nervous system of trunk NOS', 'Larynx NOS', 'Skin of other and unspecified parts of face', 'Spleen', 'Oropharynx NOS', 'Anal canal', 'Subglottis', 'Cerebral meninges', 'Lateral wall of oropharynx', 'Middle third of esophagus', 'Nipple', 'Medulla of adrenal gland', 'Overlapping lesion of eye and adnexa', 'Olfactory nerve', 'Ethmoid sinus', 'Overlapping lesion of cervix uteri', 'Descending colon', 'Brain NOS', 'Overlapping lesion of respiratory system and intrathoracic organs', 'Anterior wall of bladder', 'Mandible', 'Other specified parts of pancreas', 'Skin of trunk', 'Other specified parts of female genital organs', 'Uterus NOS', 'Peripheral nerves and autonomic nervous system of lower limb and hip', 'Intrathoracic lymph nodes', 'Heart', 'Adrenal gland NOS', 'Aortic body and other paraganglia', 'Extrahepatic bile duct', 'Overlapping lesion of breast', 'Superior wall of nasopharynx', 'Fundus of stomach', 'Anterior mediastinum', 'Tongue NOS', 'Cranial nerve NOS', 'Head of pancreas', 'Overlapping lesions of oropharynx', 'Overlapping lesion of bones joints and articular cartilage', 'Retromolar area', 'Testis NOS', 'Connective subcutaneous and other soft tissues of head face and neck', 'Bladder NOS', 'Overlapping lesion of urinary organs', 'Lower-outer quadrant of breast', 'Thyroid gland', 'Anterior surface of epiglottis', 'Uterine adnexa']",,SRRSClinicalDataTier2
Stop Days from Index,Stop Days from Index,StopDaysfromIndex,"Number of days from the date of birth (index date) to the end date of the event (e.g. exposure to environmental factor, treatment start, etc.). Note: if the event occurs at a single time point, e.g. a diagnosis or a lab test, the values for this column is 'Not Applicable'",False,,,,SRRSClinicalDataTier2
Treatment Type,Treatment Type,TreatmentType,Text term that describes the kind of treatment administered.,False,,,,SRRSClinicalDataTier2
Timepoint Label,Timepoint Label,TimepointLabel,"Label to identify the time point at which the clinical data or biospecimen was obtained (e.g. Baseline, End of Treatment, Overall survival, Final). NO PHI/PII INFORMATION IS ALLOWED.",True,,,,SRRSClinicalDataTier2
Country of Birth,Country of Birth,CountryofBirth,Country where the patient was born.,False,,"['Belize', 'Monaco', 'Bahrain', 'Iraq', 'South Africa', 'Vietnam', 'Niue', 'Poland', 'Albania', 'Burundi', 'Spain', 'Bhutan', 'Saudi Arabia', 'Madagascar', 'Gambia', 'Switzerland', 'Laos', 'Saint Lucia', 'Myanmar', 'Mayotte', 'Guadeloupe', 'South Korea', 'Tokelau', 'Syria', 'Pakistan', 'Isle of Man', 'Yemen', 'Svalbard & Jan Mayen Islands', 'Jersey', 'Bosnia and Herzegovina', 'Eritrea', 'Guinea', 'Philippines', 'Guinea-Bissau', 'Azerbaijan', 'Somalia', 'Sudan', 'Cambodia', 'Cuba', 'Rwanda', 'Tonga', 'Saint Kitts and Nevis', 'Finland', 'Paraguay', 'Malawi', 'Falkland Islands (Malvinas)', 'Federated States of Micronesia', 'Niger', 'Colombia', 'Democratic Republic of the Congo', 'North Macedonia', 'Haiti', 'Timor-Leste', 'Austria', 'Chad', 'Iceland', 'Dominica', 'Malta', 'Denmark', 'Kosovo', 'Martinique', 'Bangladesh', 'San Marino', 'South Sudan', 'Georgia', 'Nigeria', 'Gibraltar', 'Nauru', 'Tajikistan', 'Montserrat', 'Sweden', 'Antigua and Barbuda', 'Indonesia', 'Sri Lanka', 'Greece', 'Gabon', 'Japan', 'Mauritania', 'Nicaragua', 'China', 'Cape Verde', 'Unknown', 'Grenada', 'French Polynesia', 'Moldova', 'Cayman Islands', 'Dominican Republic', 'Liechtenstein', 'Senegal', 'Holy See', 'Mali', 'Vanuatu', 'India', 'Bermuda', 'Netherlands', 'Ireland', 'Zambia', 'North Korea', 'Macau', 'Romania', 'Solomon Islands', 'Suriname', 'Nepal', 'Croatia', 'Reunion', 'Ghana', 'Saint Helena Ascension and Tristan da Cunha', 'Israel', 'Faroe Islands', 'Greenland', 'State of Palestine', 'Wallis and Futuna', 'Ecuador', 'French Guiana', 'Angola', 'Aruba', 'Guyana', 'Kuwait', 'Taiwan', 'Singapore', 'Togo', 'Andorra', 'Lebanon', 'Northern Mariana Islands', 'Armenia', 'Iran', 'New Zealand', 'Bolivia', 'Cameroon', 'Norway', 'Panama', 'Papua New Guinea', 'Qatar', 'Tanzania', 'Portugal', 'Slovakia', 'Equatorial Guinea', 'Estonia', 'Mongolia', 'Chile', 'Burkina Faso', 'Ethiopia', 'Hungary', 'Djibouti', 'Kenya', 'Kiribati', 'Botswana', 'Australia', 'Guam', 'Congo', 'Belarus', 'Uruguay', 'Czech Republic (Czechia)', 'Lesotho', 'United Kingdom', 'Lithuania', 'Russia', 'Thailand', 'Oman', 'Benin', 'Tunisia', 'Uganda', 'Namibia', 'Honduras', 'Algeria', 'Turkey', 'Morocco', 'Barbados', 'Sierra Leone', 'Venezuela', 'Saint Pierre and Miquelon', 'Kyrgyzstan', 'Trinidad and Tobago', 'Serbia', 'Peru', 'Comoros', 'Canada', 'Hong Kong', 'Liberia', 'Malaysia', 'Puerto Rico', 'Brazil', 'Virgin Islands British', 'Zimbabwe', 'Latvia', 'Eswatini', ""Cote d'Ivoire"", 'United Arab Emirates', 'Bahamas', 'Curacao', 'Slovenia', 'Central African Republic', 'Guatemala', 'Jordan', 'Egypt', 'Germany', 'Mozambique', 'Fiji', 'Turkmenistan', 'Mexico', 'Brunei', 'France', 'Kazakhstan', 'Argentina', 'Uzbekistan', 'Samoa', 'Bulgaria', 'Virgin Islands U.S.', 'Maldives', 'Cyprus', 'Costa Rica', 'Italy', 'Libya', 'Jamaica', 'Tuvalu', 'United States', 'Saint Vincent and the Grenadines', 'Palau', 'Western Sahara', 'Guernsey', 'Mauritius', 'El Salvador', 'Afghanistan', 'Belgium', 'Luxembourg', 'Ukraine', 'Marshall Islands', 'Montenegro', 'Cook Islands', 'Seychelles', 'Sao Tome and Principe', 'New Caledonia', 'Anguilla', '']",,SRRSClinicalDataTier2
Gender,Gender,Gender,"Text designations that identify gender. Gender is described as the assemblage of properties that distinguish people on the basis of their societal roles. [Identification of gender is based upon self-report and may come from a form, questionnaire, interview, etc.]",True,,"['Not Reported', 'unspecified', 'Unknown', 'female', 'male']",,SRRSClinicalDataTier2
Progression or Recurrence,Progression or Recurrence,ProgressionorRecurrence,Yes/No/unknown indicator to identify whether a patient has had a new tumor event after initial treatment.,True,,"['No', 'Yes - Progression or Recurrence', 'Unknown', 'Not Reported']",,SRRSClinicalDataTier2
Tumor Largest Dimension Diameter,Tumor Largest Dimension Diameter,TumorLargestDimensionDiameter,"Numeric value used to describe the maximum diameter or dimension of the primary tumor, measured in centimeters.",False,,,,SRRSClinicalDataTier2
HTAN Participant ID,HTAN Participant ID,HTANParticipantID,HTAN ID associated with a patient based on HTAN ID SOP (eg HTANx_yyy ),True,,,,SRRSClinicalDataTier2
Component,Component,Component,"Category of metadata (e.g. Diagnosis, Biospecimen, scRNA-seq Level 1, etc.); provide the same one for all items/rows.",True,,,,SRRSClinicalDataTier2
Last Known Disease Status,Last Known Disease Status,LastKnownDiseaseStatus,Text term that describes the last known state or condition of an individual's neoplasm.,True,,"['With tumor', 'Not Reported', 'Not Applicable', 'unknown tumor status', 'Distant met recurrence/progression', 'Loco-regional recurrence/progression', 'Tumor free', 'Biochemical evidence of disease without structural correlate', 'Not Allowed To Collect']",,SRRSClinicalDataTier2
Ethnicity,Ethnicity,Ethnicity,"An individual's self-described social and cultural grouping, specifically whether an individual describes themselves as Hispanic or Latino. The provided values are based on the categories defined by the U.S. Office of Management and Business and used by the U.S. Census Bureau.",True,,"['Not Reported', 'Unknown', 'hispanic or latino', 'not hispanic or latino', 'not allowed to collect']",,SRRSClinicalDataTier2
Cancer Incidence,Cancer Incidence,CancerIncidence,"Incidence of specific cancer type in a defined area (a number between 0 and 100). The rate of incident cases per population of 100,000 persons of a specific type of cancer as designated in the ""primary_diagnosis"" data element in the county where the patient resides, using the most recent 2013-2017 NCI Cancer Atlas derived data.  Use patient zip code to find the county the patient lives in by going to https://www.unitedstateszipcodes.org/. Enter the zip code in the main text field and use the asociated county on the right side of the result field. On the https://gis.cancer.gov/canceratlas/tableview/ website, choose ""Incidence"" from the Topic dropdown menu, state of interest from the Area menu, ""All Races"" from the Race menu, and the cancer type (""Both Sexes"" when possible) from the Statistic menu. Find the county of interest and enter the numeric Age-Adjusted Rate per 100,000 as the value.",False,,,,SRRSClinicalDataTier2
Medically Underserved Area,Medically Underserved Area,MedicallyUnderservedArea,"Areas or populations designated by HRSA as having too few primary care providers, high infant mortality, high poverty or a high elderly population:  Use patient zip code to find the county the patient lives in by going to https://www.unitedstateszipcodes.org/ - enter the zip code in the main text field and use the associated county on the right side of the result field. Go to data.hrsa.gov website and select ""Query Data"". Pick the Medically Underserved Areas/Populations (MUA/P) data source in the step 1 menu and select ""View Data"". Enter the name of the county (_______ county) in the first ""Service Area"" column, adding the state in the 5th column may help direct you to the data.  If the designation type in the third column is ""medically underserved area"" enter ""Yes"" as the value. If the county generates a ""No data available in table"" enter ""No"" as the value.  A value of ""Unknown"" indicates that sufficient data was not available to look up the value.  If value is yes, complete the Medically_underserved_score data element.",False,,"['Medically Underserved Area - Yes', 'Medically Underserved Area - Unknown', 'Medically Underserved Area - No', '']",,SRRSClinicalDataTier2
Year of Death,Year of Death,YearofDeath,Numeric value to represent the year of the death of an individual.,False,True,," If Vital Status is ""Dead"" then ""Year of Death"" is required",SRRSClinicalDataTier2
Cause of Death Source,Cause of Death Source,CauseofDeathSource,The text term used to describe the source used to determine the patient's cause of death.,False,True,"['Medical Record', 'Not Reported', 'Unknown', 'Death Certificate', 'Autopsy', 'Social Security Death Index', '']"," If Vital Status is ""Dead"" then ""Cause of Death Source"" is required",SRRSClinicalDataTier2
Cause of Death,Cause of Death,CauseofDeath,The cause of death,False,True,"['Cancer Related', 'Not Reported', 'Renal Disorder NOS', 'Not Applicable', 'Spinal Muscular Atrophy', 'End-stage Renal Disease', 'Not Cancer Related', 'Unknown', 'Infection', 'Surgical Complications', 'Cardiovascular Disorder NOS', 'Toxicity', '']"," If Vital Status is ""Dead"" then ""Cause of Death"" is required",SRRSClinicalDataTier2
Days to Death,Days to Death,DaystoDeath,Number of days between the date used for index and the date from a person's date of death represented as a calculated number of days.,False,True,," If Vital Status is ""Dead"" then ""Days to Death"" is required",SRRSClinicalDataTier2
Days to Progression,Days to Progression,DaystoProgression,Number of days between the date used for index and the date the patient's disease progressed.,False,True,," If Progression or Recurrence is ""Yes - Progression or Recurrence"" then ""Days to Progression"" is required",SRRSClinicalDataTier2
Progression or Recurrence Type,Progression or Recurrence Type,ProgressionorRecurrenceType,The text term used to describe the type of progressive or recurrent disease or relapsed disease.,False,True,"['Distant', 'Not Reported', 'Unknown', 'Biochemical', 'Regional', 'Local', '']"," If Progression or Recurrence is ""Yes - Progression or Recurrence"" then ""Progression or Recurrence Type"" is required",SRRSClinicalDataTier2
